anno,ateneo,area,gruppo,classe_laurea,classe_des,nome_corso,level,provincia,comune,accesso,didattica
2024,Trieste,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale),triennale,TRIESTE,TRIESTE,nazionale,in presenza
2024,Trieste,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico),triennale,TRIESTE,TRIESTE,nazionale,in presenza
2024,Trieste,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,"Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica)",triennale,TRIESTE,TRIESTE,nazionale,in presenza
2024,Verona,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale),triennale,TRENTO,ROVERETO,nazionale,in presenza
2024,Verona,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale),triennale,VERONA,VERONA,nazionale,in presenza
2024,Verona,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche Audioprotesiche (Abilitante alla Professione Sanitaria di Audioprotesista),triennale,VERONA,VERONA,nazionale,in presenza
2024,Verona,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Fisiopatologia Cardiocircolatoria e Perfusione Cardiovascolare (Abilitante alla Professione Sanitaria di Tecnico di Fisiopatologia Cardiocircolatoria e Perfusione Cardiovascolare),triennale,VERONA,VERONA,nazionale,in presenza
2024,Verona,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico),triennale,TRENTO,TRENTO,nazionale,in presenza
2024,Verona,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico),triennale,VERONA,VERONA,nazionale,in presenza
2024,Verona,Sanitaria e Agro-Veterinaria,Medico-Sanitario e Farmaceutico,L/SNT3,Professioni sanitarie tecniche,"Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica)",triennale,TRENTO,TRENTO,nazionale,in presenza
