cod_ateneo,nome_esteso,nome_operativo,type,kind_descrizione,statale_libera,status,citta,provincia,regione,macro_regione,wikidata_qid,wikidata_enLabel,wikidata_coord,wikidata_website
05001,Università di Pisa,Pisa,statale,Università,S,A,PISA,PISA,TOSCANA,CENTRO,Q645663,University of Pisa,Point(10.398458333 43.716508333),https://www.unipi.it/index.php/portugues
05002,Scuola normale superiore di Pisa,Pisa Normale,statale,Scuola Superiore ad Ordinamento Speciale,S,A,PISA,PISA,TOSCANA,CENTRO,,,,
05003,"Scuola superiore di studi universitari e perfezionamento ""S. Anna"" di Pisa",Pisa S.Anna,statale,Scuola Superiore ad Ordinamento Speciale,S,A,PISA,PISA,TOSCANA,CENTRO,,,,
05201,Università degli studi di Siena,Siena,statale,Università,S,A,SIENA,SIENA,TOSCANA,CENTRO,Q1245999,University of Siena,Point(11.3325 43.319166666),https://www.unisi.it
05202,Università per stranieri di Siena,Siena Stranieri,statale,Università,S,A,SIENA,SIENA,TOSCANA,CENTRO,Q1245999,University of Siena,Point(11.3325 43.319166666),https://www.unisi.it
05401,Università degli studi di Perugia,Perugia,statale,Università,S,A,PERUGIA,PERUGIA,UMBRIA,CENTRO,Q748085,University of Perugia,Point(12.3858 43.1158),https://www.unipg.it
05402,Istituto Superiore di Educazione Fisica di Perugia,Perugia ISEF,non-statale,ISEF,L,M,,PERUGIA,UMBRIA,CENTRO,,,,
05403,Università per stranieri di Perugia,Perugia Stranieri,statale,Università,S,A,PERUGIA,PERUGIA,UMBRIA,CENTRO,Q748085,University of Perugia,Point(12.3858 43.1158),https://www.unipg.it
05601,Università degli Studi della Tuscia,Tuscia,statale,Università,S,A,VITERBO,VITERBO,LAZIO,CENTRO,Q1780458,University of Tuscia,Point(12.112611111 42.413361111),http://www.unitus.it/
05801,Università degli studi di Roma La Sapienza,Roma La Sapienza,statale,Università,S,A,ROMA,ROMA,LAZIO,CENTRO,Q209344,Sapienza University of Rome,Point(12.515833333 41.903333333),https://www.uniroma1.it/it/
05802,Università degli studi di Roma Tor Vergata,Roma Tor Vergata,statale,Università,S,A,ROMA,ROMA,LAZIO,CENTRO,Q1031803,Tor Vergata University of Rome,Point(12.627222222 41.849444444),https://web.uniroma2.it/it
05803,Libera Università Maria SS.Assunta - (LUMSA) di Roma,Roma LUMSA,non-statale,Università,L,A,ROMA,ROMA,LAZIO,CENTRO,,,,
05805,Luiss - Libera Università internazionale degli studi sociali Guido Carli di Roma,Roma Luiss,non-statale,Università,L,A,ROMA,ROMA,LAZIO,CENTRO,,,,
05806,"Università degli studi di Roma ""Foro Italico""",Roma Foro Italico,statale,Università,S,A,ROMA,ROMA,LAZIO,CENTRO,Q3152661,Foro Italico University of Rome,Point(12.4576 41.9315),https://www.uniroma4.it/
